Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex156,1.527029e+02,1.543514e+02,1.546811e+02,1.553406e+02,156,1.566594e+02,1.576486e+02,1.592971e+02
LUTindex157,1.537064e+02,1.553532e+02,1.556826e+02,1.563413e+02,157,1.576587e+02,1.586468e+02,1.602936e+02
LUTindex158,1.547105e+02,1.563553e+02,1.566842e+02,1.573421e+02,158,1.586579e+02,1.596447e+02,1.612895e+02
LUTindex159,1.557154e+02,1.573577e+02,1.576862e+02,1.583431e+02,159,1.596569e+02,1.606423e+02,1.622846e+02
LUTindex160,1.567212e+02,1.583606e+02,1.586885e+02,1.593442e+02,160,1.606558e+02,1.616394e+02,1.632788e+02
LUTindex161,1.577279e+02,1.593640e+02,1.596912e+02,1.603456e+02,161,1.616544e+02,1.626360e+02,1.642720e+02
LUTindex162,1.587352e+02,1.603676e+02,1.606941e+02,1.613470e+02,162,1.626530e+02,1.636324e+02,1.652648e+02
LUTindex163,1.597429e+02,1.613715e+02,1.616972e+02,1.623486e+02,163,1.636514e+02,1.646285e+02,1.662571e+02
LUTindex164,1.607514e+02,1.623757e+02,1.627005e+02,1.633503e+02,164,1.646497e+02,1.656243e+02,1.672487e+02
LUTindex165,1.617606e+02,1.633803e+02,1.637043e+02,1.643521e+02,165,1.656479e+02,1.666197e+02,1.682394e+02
LUTindex166,1.627709e+02,1.643855e+02,1.647084e+02,1.653542e+02,166,1.666458e+02,1.676146e+02,1.692291e+02
LUTindex167,1.637823e+02,1.653912e+02,1.657129e+02,1.663565e+02,167,1.676435e+02,1.686088e+02,1.702177e+02
LUTindex168,1.647951e+02,1.663975e+02,1.667180e+02,1.673590e+02,168,1.686410e+02,1.696025e+02,1.712049e+02
LUTindex169,1.658092e+02,1.674046e+02,1.677237e+02,1.683618e+02,169,1.696382e+02,1.705954e+02,1.721908e+02
LUTindex170,1.668248e+02,1.684124e+02,1.687299e+02,1.693650e+02,170,1.706350e+02,1.715876e+02,1.731751e+02
LUTindex171,1.678417e+02,1.694209e+02,1.697367e+02,1.703683e+02,171,1.716317e+02,1.725791e+02,1.741583e+02
LUTindex172,1.688597e+02,1.704298e+02,1.707439e+02,1.713719e+02,172,1.726281e+02,1.735701e+02,1.751403e+02
LUTindex173,1.698786e+02,1.714393e+02,1.717515e+02,1.723757e+02,173,1.736243e+02,1.745607e+02,1.761213e+02
LUTindex174,1.708984e+02,1.724492e+02,1.727594e+02,1.733797e+02,174,1.746203e+02,1.755508e+02,1.771016e+02
LUTindex175,1.719188e+02,1.734594e+02,1.737675e+02,1.743838e+02,175,1.756162e+02,1.765406e+02,1.780812e+02
LUTindex176,1.729397e+02,1.744698e+02,1.747759e+02,1.753879e+02,176,1.766121e+02,1.775302e+02,1.790603e+02
LUTindex177,1.739609e+02,1.754805e+02,1.757844e+02,1.763922e+02,177,1.776078e+02,1.785195e+02,1.800391e+02
LUTindex178,1.749824e+02,1.764912e+02,1.767930e+02,1.773965e+02,178,1.786035e+02,1.795088e+02,1.810176e+02
LUTindex179,1.760044e+02,1.775022e+02,1.778017e+02,1.784009e+02,179,1.795991e+02,1.804978e+02,1.819956e+02
LUTindex180,1.770269e+02,1.785135e+02,1.788108e+02,1.794054e+02,180,1.805946e+02,1.814865e+02,1.829731e+02
LUTindex181,1.780503e+02,1.795251e+02,1.798201e+02,1.804101e+02,181,1.815899e+02,1.824749e+02,1.839497e+02
LUTindex182,1.790746e+02,1.805373e+02,1.808298e+02,1.814149e+02,182,1.825851e+02,1.834627e+02,1.849254e+02
LUTindex183,1.801001e+02,1.815500e+02,1.818400e+02,1.824200e+02,183,1.835800e+02,1.844500e+02,1.859000e+02
LUTindex184,1.811269e+02,1.825634e+02,1.828507e+02,1.834254e+02,184,1.845746e+02,1.854366e+02,1.868732e+02
LUTindex185,1.821551e+02,1.835776e+02,1.838621e+02,1.844310e+02,185,1.855690e+02,1.864224e+02,1.878449e+02
LUTindex186,1.831850e+02,1.845925e+02,1.848740e+02,1.854370e+02,186,1.865630e+02,1.874075e+02,1.888149e+02
LUTindex187,1.842164e+02,1.856082e+02,1.858866e+02,1.864433e+02,187,1.875567e+02,1.883918e+02,1.897835e+02
LUTindex188,1.852490e+02,1.866245e+02,1.868996e+02,1.874498e+02,188,1.885502e+02,1.893755e+02,1.907509e+02
LUTindex189,1.862826e+02,1.876413e+02,1.879131e+02,1.884565e+02,189,1.895435e+02,1.903587e+02,1.917173e+02
LUTindex190,1.873170e+02,1.886585e+02,1.889268e+02,1.894634e+02,190,1.905366e+02,1.913415e+02,1.926830e+02
LUTindex191,1.883519e+02,1.896760e+02,1.899408e+02,1.904704e+02,191,1.915296e+02,1.923240e+02,1.936481e+02
LUTindex192,1.893872e+02,1.906936e+02,1.909549e+02,1.914774e+02,192,1.925226e+02,1.933064e+02,1.946128e+02
LUTindex193,1.904226e+02,1.917113e+02,1.919690e+02,1.924845e+02,193,1.935155e+02,1.942887e+02,1.955774e+02
LUTindex194,1.914590e+02,1.927295e+02,1.929836e+02,1.934918e+02,194,1.945082e+02,1.952705e+02,1.965410e+02
LUTindex195,1.924965e+02,1.937482e+02,1.939986e+02,1.944993e+02,195,1.955007e+02,1.962518e+02,1.975035e+02
LUTindex196,1.935346e+02,1.947673e+02,1.950138e+02,1.955069e+02,196,1.964931e+02,1.972327e+02,1.984654e+02
LUTindex197,1.945730e+02,1.957865e+02,1.960292e+02,1.965146e+02,197,1.974854e+02,1.982135e+02,1.994269e+02
LUTindex198,1.956115e+02,1.968057e+02,1.970446e+02,1.975223e+02,198,1.984777e+02,1.991943e+02,2.003885e+02
LUTindex199,1.966495e+02,1.978247e+02,1.980598e+02,1.985299e+02,199,1.994701e+02,2.001753e+02,2.013505e+02
LUTindex200,1.976867e+02,1.988434e+02,1.990747e+02,1.995373e+02,200,2.004627e+02,2.011566e+02,2.023133e+02
LUTindex201,1.987230e+02,1.998615e+02,2.000892e+02,2.005446e+02,201,2.014554e+02,2.021385e+02,2.032770e+02
LUTindex202,1.997586e+02,2.008793e+02,2.011034e+02,2.015517e+02,202,2.024483e+02,2.031207e+02,2.042414e+02
LUTindex203,2.007939e+02,2.018969e+02,2.021176e+02,2.025588e+02,203,2.034412e+02,2.041031e+02,2.052061e+02
LUTindex204,2.018288e+02,2.029144e+02,2.031315e+02,2.035658e+02,204,2.044342e+02,2.050856e+02,2.061712e+02
LUTindex205,2.028632e+02,2.039316e+02,2.041453e+02,2.045726e+02,205,2.054274e+02,2.060684e+02,2.071368e+02
LUTindex206,2.038973e+02,2.049486e+02,2.051589e+02,2.055795e+02,206,2.064205e+02,2.070514e+02,2.081027e+02
LUTindex207,2.049309e+02,2.059654e+02,2.061723e+02,2.065862e+02,207,2.074138e+02,2.080346e+02,2.090691e+02
