Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex187,1.841188e+02,1.855594e+02,1.858475e+02,1.864238e+02,187,1.875762e+02,1.884406e+02,1.898812e+02
LUTindex188,1.851479e+02,1.865739e+02,1.868592e+02,1.874296e+02,188,1.885704e+02,1.894261e+02,1.908521e+02
LUTindex189,1.861779e+02,1.875889e+02,1.878712e+02,1.884356e+02,189,1.895644e+02,1.904111e+02,1.918221e+02
LUTindex190,1.872089e+02,1.886044e+02,1.888836e+02,1.894418e+02,190,1.905582e+02,1.913956e+02,1.927911e+02
LUTindex191,1.882411e+02,1.896205e+02,1.898964e+02,1.904482e+02,191,1.915518e+02,1.923795e+02,1.937590e+02
LUTindex192,1.892745e+02,1.906373e+02,1.909098e+02,1.914549e+02,192,1.925451e+02,1.933628e+02,1.947255e+02
LUTindex193,1.903094e+02,1.916547e+02,1.919238e+02,1.924619e+02,193,1.935381e+02,1.943453e+02,1.956906e+02
LUTindex194,1.913463e+02,1.926732e+02,1.929385e+02,1.934693e+02,194,1.945307e+02,1.953268e+02,1.966536e+02
LUTindex195,1.923850e+02,1.936925e+02,1.939540e+02,1.944770e+02,195,1.955230e+02,1.963075e+02,1.976149e+02
LUTindex196,1.934251e+02,1.947125e+02,1.949700e+02,1.954850e+02,196,1.965150e+02,1.972874e+02,1.985749e+02
LUTindex197,1.944660e+02,1.957330e+02,1.959864e+02,1.964932e+02,197,1.975068e+02,1.982670e+02,1.995340e+02
LUTindex198,1.955073e+02,1.967537e+02,1.970029e+02,1.975015e+02,198,1.984985e+02,1.992463e+02,2.004927e+02
LUTindex199,1.965486e+02,1.977743e+02,1.980194e+02,1.985097e+02,199,1.994903e+02,2.002257e+02,2.014514e+02
LUTindex200,1.975894e+02,1.987947e+02,1.990357e+02,1.995179e+02,200,2.004821e+02,2.012053e+02,2.024106e+02
LUTindex201,1.986292e+02,1.998146e+02,2.000517e+02,2.005258e+02,201,2.014742e+02,2.021854e+02,2.033708e+02
LUTindex202,1.996686e+02,2.008343e+02,2.010675e+02,2.015337e+02,202,2.024663e+02,2.031657e+02,2.043314e+02
LUTindex203,2.007079e+02,2.018539e+02,2.020832e+02,2.025416e+02,203,2.034584e+02,2.041461e+02,2.052921e+02
LUTindex204,2.017470e+02,2.028735e+02,2.030988e+02,2.035494e+02,204,2.044506e+02,2.051265e+02,2.062530e+02
LUTindex205,2.027862e+02,2.038931e+02,2.041145e+02,2.045572e+02,205,2.054428e+02,2.061069e+02,2.072138e+02
LUTindex206,2.038254e+02,2.049127e+02,2.051302e+02,2.055651e+02,206,2.064349e+02,2.070873e+02,2.081746e+02
LUTindex207,2.048648e+02,2.059324e+02,2.061459e+02,2.065730e+02,207,2.074270e+02,2.080676e+02,2.091352e+02
